C (v/v)%,R,Cond (?S/cm),pH
0,1.33137,35.96,6.98
0,1.33134,36.08,6.97
0,1.33143,35.9,6.96
1,1.33176,35.69,7.01
1,1.33175,35.58,6.99
1,1.33179,35.72,6.98
1,1.33172,35.64,6.97
1,1.33178,35.55,6.96
1,1.33174,35.74,6.95
2,1.33205,35.35,7.02
2,1.33207,35.27,7
2,1.3321,35.42,6.99
2,1.33204,35.31,6.98
2,1.33209,35.38,6.97
2,1.33208,35.24,6.96
3,1.33209,35.01,7.03
3,1.33213,34.94,7.01
3,1.33214,35.08,7
3,1.33212,34.99,6.99
3,1.33215,34.91,6.98
3,1.33211,35.05,6.97
4,1.33209,34.71,7.04
4,1.33211,34.63,7.02
4,1.33199,34.77,7.01
4,1.33203,34.68,7
4,1.33207,34.75,6.99
4,1.33201,34.6,6.98
5,1.3326,34.33,7.03
5,1.33258,34.51,7.02
5,1.33264,34.39,7.01
10,1.33476,32.82,7.08
10,1.33415,32.73,7.07
10,1.33415,32.9,7.06
15,1.33555,31.16,7.13
15,1.33607,31.08,7.12
15,1.3361,31.24,7.11
20,1.33731,29.37,7.18
20,1.33783,29.29,7.17
20,1.33794,29.45,7.16
25,1.33908,27.33,7.28
25,1.33954,27.26,7.27
25,1.33942,27.41,7.26
30,1.3406,25.09,7.38
30,1.34083,24.98,7.37
30,1.34049,25.05,7.36
35,1.34274,22.49,7.48
35,1.34251,22.38,7.47
35,1.34177,22.45,7.46
40,1.34337,19.56,7.6
40,1.34458,19.49,7.58
40,1.34462,19.64,7.57
40,1.34351,19.53,7.56
40,1.34463,19.6,7.55
40,1.34459,19.44,7.54
41,1.34234,18.96,7.62
41,1.34266,18.89,7.6
41,1.34234,19.04,7.59
41,1.34248,18.93,7.58
41,1.34271,19,7.57
41,1.34239,18.84,7.56
42,1.34282,18.35,7.64
42,1.34333,18.28,7.62
42,1.34378,18.43,7.61
42,1.34295,18.32,7.6
42,1.34341,18.39,7.59
42,1.34384,18.23,7.58
43,1.3448,17.73,7.66
43,1.3437,17.66,7.64
43,1.34447,17.81,7.63
43,1.34472,17.7,7.62
43,1.34382,17.77,7.61
43,1.34455,17.61,7.6
44,1.34529,17.1,7.68
44,1.34308,17.03,7.66
44,1.34466,17.18,7.65
44,1.34521,17.07,7.64
44,1.34317,17.14,7.63
44,1.34473,16.98,7.62
45,1.34393,16.46,7.7
45,1.34346,16.39,7.68
45,1.3434,16.54,7.67
45,1.34401,16.43,7.66
45,1.34352,16.5,7.65
45,1.34347,16.34,7.64
